"size","solution_terms","elpd","se","diff","diff.se","ref.loo.elpd","spline.elpd","spline.elpd.se","mono.spline.elpd","mono.spline.elpd.se","spline.elpd.diff","spline.elpd.diff.se","mono.spline.elpd.diff","mono.spline.elpd.diff.se","n","rho","run"
26,"X.83",-260.293783476515,8.73449371987352,-6.25336695725513,1.24125232400088,-254.692375881122,-260.645225402769,4.44462765616349,-274.177505449224,9.66703203706405,-6.58354290033616,0.419624977137799,-6.47775056483454,0.305285339279321,200,0.9,10
27,"X.7",-260.43287716928,8.73033976738074,-6.39246065002042,1.18983482138237,-254.692375881122,-260.985263543287,4.44251387914058,-274.047112048761,9.66243458778811,-6.27229406802952,0.402242477267643,-6.20368843216858,0.292639232256382,200,0.9,10
28,"X.69",-260.018821012325,8.68080267286517,-5.97840449306555,1.16104469120974,-254.692375881122,-260.094353360549,4.41730647189396,-272.492132740028,9.60760866483674,-6.04843262439975,0.392509518479262,-6.04744319364941,0.285558315276249,200,0.9,10
29,"X.51",-259.856980652291,8.62248688574987,-5.81656413303139,1.09908121982619,-254.692375881122,-259.072779273435,4.38763194598368,-270.661588514172,9.54306679207455,-5.67449400351223,0.371561787095452,-5.71833857525097,0.270318432926399,200,0.9,10
30,"X.5",-259.895262519728,8.63107339561283,-5.85484600046819,1.05536394072127,-254.692375881122,-260.182258420704,4.39200127068993,-270.93112077615,9.5525700407566,-5.45075516095307,0.356782469554437,-5.48422086940781,0.259566191721406,200,0.9,10
31,"X.85",-259.370252014994,8.56253370524754,-5.32983549573402,1.0273654556244,-254.692375881122,-259.016027919352,4.35712421735262,-268.779646181711,9.47671270960252,-5.35765119329512,0.347317138902893,-5.33167108181477,0.252679979420466,200,0.9,10
32,"X.74",-259.314231846848,8.55571346986217,-5.27381532758879,1.0314374074834,-254.692375881122,-259.647646637012,4.35365367769828,-268.565557627798,9.4691643117119,-5.44485581511006,0.348693726622166,-5.34512379254581,0.253681473782868,200,0.9,10
33,"X.75",-259.040872173508,8.50646971324304,-5.00045565424877,0.980974405378374,-254.692375881122,-258.803224961742,4.32859553814467,-267.019786254353,9.41466304488067,-5.20556426184102,0.331633910744947,-5.07576474767547,0.241270125646149,200,0.9,10
34,"X.63",-258.760926404651,8.45941101108648,-4.72050988539117,0.933895782027335,-254.692375881122,-257.762488936776,4.30464928369923,-265.542604177677,9.36258011987553,-4.91272290617219,0.315718237625655,-4.82430202348959,0.229691163637684,200,0.9,10
35,"X.15",-258.754791498594,8.47840079953128,-4.71437497933465,0.895536679677917,-254.692375881122,-258.492007032954,4.31431241262385,-266.13869743581,9.38359735329058,-4.60253969029828,0.302750336470379,-4.61835583717145,0.220256763114311,200,0.9,10
36,"X.17",-258.543317033298,8.5001861648266,-4.5029005140382,0.862887924372961,-254.692375881122,-259.172994669391,4.3253980966024,-266.822544410611,9.40770863334907,-4.30014560736569,0.291712908436197,-4.44236682701248,0.212226819365086,200,0.9,10
37,"X.16",-258.083870127901,8.48452168837126,-4.04345360864147,0.821563374471131,-254.692375881122,-258.738340149684,4.317427083341,-266.330833359984,9.39037173889427,-3.99081874849886,0.27774249084061,-4.22235668258969,0.202063068616422,200,0.9,10
38,"X.49",-257.810447401135,8.46608679502479,-3.77003088187481,0.78310491806971,-254.692375881122,-258.395004180604,4.30804631790297,-265.752158368849,9.36996864395877,-3.77583049702029,0.264741001476881,-4.01753223903486,0.192604232017572,200,0.9,10
39,"X.100",-257.70361320929,8.41435402448705,-3.66319669003074,0.7286368802981,-254.692375881122,-257.287278361788,4.28172162066965,-264.12825635053,9.31271262361078,-3.5703312467818,0.246327219957439,-3.73075316953084,0.179207847519868,200,0.9,10
